Magazine,MagWeek01,50,0,TechTrends Weekly,4.99
Magazine,MagWeek02,50,1,Fitness Focus,3.50
Magazine,MagWeek03,50,2,Travel Explorer,5.25
Magazine,MagWeek04,50,3,Culinary Delights,3.75
Paying,Olivia Bennett,olivia.bennett@example.com,0,Debit Card,TechTrends Weekly,Fitness Focus
Paying,Liam Harris,liam.harris@example.com,0,Credit Card,Culinary Delights,TechTrends Weekly
Paying,Emma Walker,emma.walker@example.com,0,Credit Card,Travel Explorer
Associate,Noah Turner,noah.turner@example.com,0,Olivia Bennett,TechTrends Weekly
Associate,Sophia Mitchell,sophia.mitchell@example.com,0,Liam Harris,Fitness Focus,TechTrends Weekly,Travel Explorer
Associate,James Carter,james.carter@example.com,0,Emma Walker,TechTrends Weekly,Culinary Delights
